iter	Passed	Remaining
0	329	164562
1	643	160238
2	947	157035
3	1299	161171
4	1691	167420
5	2070	170511
6	2413	169956
7	2756	169498
8	3149	171832
9	3496	171348
10	3865	171834
11	4217	171500
12	4568	171153
13	4936	171384
14	5295	171210
15	5634	170457
16	5974	169744
17	6307	168900
18	6665	168747
19	6999	167999
20	7334	167296
21	7682	166927
22	8036	166665
23	8407	166754
24	8779	166816
25	9130	166457
26	9481	166098
27	9836	165809
28	10204	165731
29	10533	165029
30	10912	165088
31	11231	164264
32	11598	164138
33	12011	164621
34	12366	164297
35	12703	163737
36	13077	163641
37	13383	162717
38	13764	162708
39	14144	162658
40	14495	162277
41	14828	161700
42	15184	161380
43	15530	160950
44	15924	161015
45	16315	161027
46	16632	160308
47	17012	160201
48	17319	159409
49	17667	159011
50	18027	158711
51	18411	158618
52	18742	158072
53	19145	158129
54	19463	157481
55	19841	157315
56	20201	157003
57	20538	156521
58	20874	156025
59	21221	155621
60	21556	155136
61	21937	154977
62	22299	154677
63	22643	154260
64	23012	154008
65	23354	153576
66	23691	153108
67	24041	152736
68	24395	152380
69	24721	151861
70	25052	151373
71	25409	151045
72	25740	150562
73	26110	150309
74	26465	149969
75	26752	149251
76	27118	148974
77	27459	148562
78	27800	148152
79	28168	147883
80	28534	147603
81	28870	147170
82	29254	146978
83	29600	146591
84	29968	146316
85	30382	146257
86	30738	145919
87	31070	145467
88	31468	145322
89	31798	144858
90	32162	144554
91	32599	144570
92	33021	144513
93	33424	144366
94	33814	144157
95	34188	143877
96	34543	143517
97	34922	143255
98	35292	142951
99	35687	142749
100	36009	142256
101	36364	141891
102	36767	141714
103	37096	141253
104	37455	140904
105	37807	140529
106	38162	140167
107	38535	139870
108	38905	139560
109	39242	139130
110	39578	138704
111	39938	138357
112	40284	137964
113	40654	137653
114	41019	137326
115	41351	136888
116	41712	136545
117	42037	136088
118	42402	135760
119	42751	135378
120	43115	135047
121	43439	134592
122	43801	134254
123	44142	133850
124	44491	133473
125	44871	133190
126	45230	132842
127	45564	132420
128	45916	132055
129	46273	131702
130	46629	131347
131	47095	131295
132	47450	130933
133	47811	130588
134	48184	130276
135	48524	129874
136	48893	129549
137	49239	129164
138	49578	128760
139	49913	128349
140	50270	127993
141	50621	127622
142	51009	127345
143	51378	127018
144	51707	126593
145	52071	126254
146	52397	125826
147	52759	125482
148	53115	125123
149	53456	124732
150	53788	124318
151	54152	123980
152	54489	123581
153	54820	123168
154	55205	122876
155	55569	122538
156	55904	122134
157	56252	121761
158	56592	121372
159	56932	120980
160	57300	120650
161	57661	120305
162	57980	119874
163	58326	119497
164	58696	119171
165	59046	118804
166	59446	118536
167	59826	118227
168	60139	117788
169	60504	117450
170	60860	117093
171	61204	116716
172	61574	116385
173	61940	116048
174	62302	115704
175	62712	115448
176	63050	115057
177	63442	114767
178	63803	114418
179	64159	114061
180	64558	113779
181	64936	113460
182	65303	113121
183	65720	112868
184	66094	112538
185	66457	112191
186	66830	111859
187	67171	111476
188	67526	111115
