iter	Passed	Remaining
0	26	26536
1	54	27151
2	82	27254
3	111	27855
4	142	28392
5	171	28413
6	213	30342
7	257	31868
8	291	32085
9	327	32456
10	361	32504
11	390	32144
12	418	31749
13	445	31361
14	472	31053
15	499	30695
16	529	30595
17	558	30478
18	585	30229
19	615	30154
20	642	29972
21	673	29951
22	702	29857
23	729	29685
24	758	29597
25	785	29428
26	807	29105
27	839	29148
28	877	29364
29	911	29458
30	953	29813
31	988	29901
32	1021	29942
33	1054	29958
34	1085	29934
35	1115	29874
36	1148	29880
37	1177	29800
38	1210	29821
39	1226	29440
40	1257	29407
41	1289	29413
42	1322	29424
43	1334	28997
44	1364	28956
45	1390	28830
46	1425	28894
47	1453	28831
48	1480	28739
49	1506	28627
50	1533	28535
51	1561	28469
52	1587	28364
53	1612	28251
54	1638	28153
55	1664	28062
56	1690	27969
57	1722	27970
58	1758	28047
59	1786	27982
60	1819	28003
61	1851	28008
62	1868	27791
63	1897	27750
64	1926	27715
65	1956	27684
66	1981	27597
67	2013	27598
68	2042	27559
69	2071	27526
70	2097	27449
71	2123	27373
72	2150	27302
73	2180	27283
74	2206	27217
75	2231	27135
76	2257	27056
77	2282	26985
78	2304	26869
79	2330	26800
80	2357	26744
81	2383	26682
82	2410	26626
83	2423	26426
84	2453	26413
85	2484	26404
86	2515	26400
87	2545	26384
88	2575	26367
89	2607	26363
90	2639	26361
91	2668	26341
92	2700	26337
93	2727	26288
94	2753	26227
95	2779	26169
96	2804	26109
97	2830	26051
98	2856	25994
99	2881	25936
100	2907	25881
101	2928	25786
102	2959	25776
103	2985	25724
104	3011	25669
105	3032	25577
106	3068	25607
107	3104	25638
108	3134	25619
109	3165	25615
110	3194	25588
111	3227	25589
112	3261	25601
113	3292	25585
114	3326	25598
115	3356	25578
116	3384	25542
117	3410	25493
118	3436	25438
119	3462	25393
120	3489	25346
121	3514	25294
122	3540	25241
123	3565	25190
124	3591	25138
125	3608	25029
126	3633	24978
127	3659	24932
128	3685	24886
129	3711	24837
130	3737	24790
131	3763	24747
132	3789	24700
133	3814	24654
134	3841	24612
135	3867	24568
136	3893	24523
137	3918	24477
138	3944	24432
139	3977	24431
140	4003	24389
141	4029	24345
142	4055	24302
143	4081	24263
144	4107	24222
145	4134	24184
146	4160	24142
147	4185	24096
148	4211	24051
149	4236	24006
150	4262	23965
151	4288	23925
152	4315	23887
